percentage,count
0.0,17485
0.21505376344086022,1
0.2457002457002457,1
0.2702702702702703,1
0.27100271002710025,1
0.29027576197387517,1
0.2976190476190476,1
0.3115264797507788,1
0.3125,2
0.31545741324921134,1
0.33112582781456956,1
0.33557046979865773,1
0.33783783783783783,1
0.34305317324185247,1
0.34602076124567477,1
0.35714285714285715,1
0.3952569169960474,1
0.398406374501992,1
0.42016806722689076,1
0.43668122270742354,1
0.4444444444444444,1
0.45662100456621,1
0.45977011494252873,1
0.4716981132075472,1
0.48426150121065376,1
0.49261083743842365,1
0.5128205128205128,1
0.5263157894736842,1
0.5291005291005291,1
0.5434782608695652,1
0.5649717514124294,1
0.5692599620493358,1
0.5747126436781609,1
0.5813953488372093,2
0.5847953216374269,1
0.5952380952380952,1
0.6172839506172839,1
0.6472491909385114,1
0.6535947712418301,2
0.6622516556291391,1
0.6734006734006733,1
0.6896551724137931,1
0.7017543859649122,1
0.7042253521126761,1
0.7462686567164178,1
0.7518796992481203,1
0.7604562737642585,1
0.7751937984496124,1
0.78125,2
0.8064516129032258,2
0.8287292817679558,1
0.847457627118644,2
0.8771929824561403,1
0.8849557522123894,2
0.8928571428571428,2
0.8968609865470852,1
0.9009009009009009,1
0.911854103343465,1
0.9174311926605505,1
0.9523809523809524,1
0.966183574879227,1
0.9689922480620154,1
0.9708737864077669,1
0.9744214372716199,1
0.975609756097561,1
0.9900990099009901,1
1.0101010101010102,1
1.0526315789473684,1
1.0582010582010581,1
1.0638297872340425,1
1.0869565217391304,3
1.098901098901099,1
1.1049723756906076,1
1.1111111111111112,1
1.1267605633802817,1
1.1428571428571428,2
1.146131805157593,1
1.1494252873563218,3
1.2048192771084338,1
1.2195121951219512,1
1.2345679012345678,2
1.2594458438287155,1
1.2658227848101267,2
1.282051282051282,4
1.2987012987012987,1
1.3114754098360655,1
1.3157894736842104,2
1.3333333333333335,2
1.342281879194631,1
1.36986301369863,2
1.3850415512465373,1
1.3888888888888888,1
1.4035087719298245,1
1.4084507042253522,2
1.4285714285714286,1
1.444043321299639,1
1.4492753623188406,1
1.4598540145985401,1
1.4634146341463417,1
1.4705882352941175,2
1.4925373134328357,1
1.507537688442211,1
1.5151515151515151,2
1.5228426395939088,1
1.5384615384615385,1
1.5625,3
1.5873015873015872,2
1.6129032258064515,2
1.6260162601626018,1
1.639344262295082,1
1.6611295681063125,1
1.6666666666666667,5
1.6908212560386473,1
1.7094017094017095,1
1.7241379310344827,1
1.7341040462427744,1
1.7391304347826086,1
1.7467248908296942,1
