percentage,count
0.0,15279
0.21739130434782608,1
0.2557544757033248,1
0.2631578947368421,1
0.2702702702702703,1
0.2820874471086037,1
0.29411764705882354,1
0.2976190476190476,1
0.3058103975535168,2
0.3125,2
0.33112582781456956,1
0.3472222222222222,1
0.35335689045936397,1
0.36231884057971014,1
0.3731343283582089,1
0.398406374501992,2
0.42016806722689076,1
0.423728813559322,1
0.4424778761061947,2
0.4524886877828055,1
0.45351473922902497,1
0.46511627906976744,1
0.4807692307692308,1
0.48192771084337355,1
0.49019607843137253,1
0.49504950495049505,1
0.5076142131979695,1
0.5208333333333333,1
0.5434782608695652,1
0.5649717514124294,1
0.5813953488372093,2
0.5988023952095809,1
0.6369426751592357,1
0.641025641025641,1
0.6535947712418301,1
0.6578947368421052,1
0.6622516556291391,1
0.6825938566552902,1
0.684931506849315,1
0.6968641114982579,1
0.7017543859649122,1
0.7142857142857143,1
0.7159904534606205,1
0.7575757575757576,1
0.7792207792207793,1
0.78125,3
0.8,1
0.8064516129032258,1
0.8130081300813009,1
0.819672131147541,1
0.8695652173913043,2
0.8849557522123894,1
0.9009009009009009,4
0.9090909090909091,1
0.911854103343465,1
0.9174311926605505,2
0.9708737864077669,1
0.9803921568627451,1
0.9900990099009901,1
1.0025062656641603,1
1.0101010101010102,1
1.0135135135135136,1
1.015228426395939,1
1.0204081632653061,1
1.0526315789473684,1
1.0638297872340425,2
1.0869565217391304,4
1.098901098901099,1
1.1049723756906076,1
1.1235955056179776,1
1.1428571428571428,1
1.1494252873563218,2
1.183431952662722,1
1.25,1
1.2711864406779663,1
1.282051282051282,3
1.2987012987012987,1
1.3157894736842104,2
1.3245033112582782,1
1.3333333333333335,2
1.3409961685823755,1
1.3513513513513513,1
1.3605442176870748,1
1.36986301369863,5
1.3850415512465373,1
1.3888888888888888,4
1.4084507042253522,3
1.4285714285714286,1
1.4492753623188406,2
1.4598540145985401,2
1.4705882352941175,1
1.4925373134328357,5
1.5151515151515151,1
1.5625,1
1.5873015873015872,3
1.6129032258064515,2
1.6260162601626018,1
1.639344262295082,2
1.6483516483516485,1
1.6611295681063125,1
1.6666666666666667,3
1.6908212560386473,1
1.694915254237288,3
1.7094017094017095,1
1.715686274509804,1
1.7241379310344827,2
1.7301038062283738,1
1.7341040462427744,1
1.7543859649122806,2
1.7699115044247788,1
1.7743080198722498,1
1.7857142857142856,2
1.7921146953405016,1
1.8181818181818181,3
1.8292682926829267,1
1.8518518518518516,1
1.8867924528301887,1
1.9230769230769231,4
1.9607843137254901,2
2.0,4
2.0100502512562812,1
2.0408163265306123,4
2.083333333333333,3
2.1052631578947367,1
2.1164021164021163,1
2.127659574468085,2
2.1505376344086025,1
2.1739130434782608,2
2.197802197802198,1
2.2222222222222223,2
2.2388059701492535,1
2.2556390977443606,1
2.272727272727273,1
2.3255813953488373,4
2.34375,1
2.3474178403755865,1
2.380952380952381,4
2.4193548387096775,2
2.4390243902439024,3
2.450980392156863,1
2.5,1
2.5316455696202533,2
2.547770700636943,1
2.5510204081632653,1
2.564102564102564,2
2.586206896551724,2
2.608695652173913,1
2.6200873362445414,1
2.631578947368421,4
2.7027027027027026,6
2.73224043715847,1
2.7522935779816518,1
2.7777777777777777,10
2.793296089385475,1
2.857142857142857,11
2.863961813842482,1
2.8901734104046244,1
2.898550724637681,1
2.91005291005291,1
2.941176470588235,5
3.0303030303030303,5
3.076923076923077,1
3.1055900621118013,1
3.125,10
3.1578947368421053,2
3.225806451612903,10
3.2407407407407405,1
3.260869565217391,1
3.278688524590164,4
3.289473684210526,1
3.3333333333333335,2
3.3707865168539324,1
3.3846153846153846,1
3.389830508474576,2
3.418803418803419,2
3.4482758620689653,6
3.488372093023256,1
3.4934497816593884,1
3.508771929824561,2
3.5398230088495577,1
3.5555555555555554,1
3.571428571428571,10
3.7037037037037033,16
3.717472118959108,1
3.731343283582089,1
3.7383177570093453,1
3.7735849056603774,2
3.79746835443038,1
3.816793893129771,1
3.8461538461538463,14
3.861003861003861,1
3.8834951456310676,1
3.896103896103896,1
3.9215686274509802,1
3.9473684210526314,3
3.9603960396039604,1
4.0,7
4.022988505747127,1
4.123711340206185,1
4.132231404958678,1
4.166666666666666,15
4.2105263157894735,1
4.242424242424243,1
4.25531914893617,2
4.273504273504273,1
4.285714285714286,1
4.316546762589928,1
4.326923076923077,1
4.3478260869565215,10
4.444444444444445,3
4.504504504504505,1
4.545454545454546,17
4.597701149425287,1
4.651162790697675,1
4.6875,1
4.700854700854701,1
4.705882352941177,1
4.724409448818897,1
4.761904761904762,18
4.838709677419355,1
4.854368932038835,1
4.935064935064935,1
5.0,19
5.063291139240507,1
5.128205128205128,5
5.164319248826291,1
5.172413793103448,1
5.194805194805195,1
5.217391304347826,1
5.263157894736842,21
5.357142857142857,1
5.392156862745098,1
5.405405405405405,1
5.416666666666667,1
5.4945054945054945,1
5.555555555555555,17
5.660377358490567,3
5.714285714285714,4
5.785123966942149,1
5.88235294117647,26
5.9071729957805905,1
5.982905982905983,1
6.0,1
6.0344827586206895,1
6.0606060606060606,4
6.122448979591836,1
6.140350877192982,1
6.206896551724138,1
6.25,26
6.329113924050633,1
6.349206349206349,3
6.382978723404255,3
6.451612903225806,3
6.557377049180328,1
6.58682634730539,1
6.666666666666667,27
6.701030927835052,1
6.779661016949152,1
6.8181818181818175,3
6.896551724137931,8
6.976744186046512,1
7.017543859649122,1
7.065217391304348,1
7.142857142857142,51
7.2727272727272725,1
7.291666666666667,2
7.317073170731707,2
7.352941176470589,1
7.4074074074074066,4
7.446808510638298,1
7.547169811320755,1
7.6923076923076925,42
7.8125,1
7.8431372549019605,1
7.878787878787878,1
7.894736842105263,3
7.936507936507936,1
7.971014492753622,1
8.0,7
8.035714285714286,1
8.088235294117647,1
8.108108108108109,2
8.16326530612245,2
8.333333333333332,64
8.51063829787234,1
8.641975308641975,1
8.695652173913043,2
8.823529411764707,2
8.88888888888889,2
8.928571428571429,1
9.045226130653267,1
9.090909090909092,64
9.210526315789473,1
9.25925925925926,2
9.30232558139535,1
9.333333333333334,1
9.523809523809524,17
9.67741935483871,2
9.75609756097561,1
9.939759036144578,1
10.0,68
10.126582278481013,1
10.256410256410255,1
10.344827586206897,2
10.377358490566039,1
10.526315789473683,12
10.714285714285714,4
11.11111111111111,77
11.363636363636363,1
11.428571428571429,2
11.538461538461538,2
11.578947368421053,1
11.594202898550725,1
11.627906976744185,1
11.650485436893204,1
11.76470588235294,11
11.864406779661017,1
12.0,3
12.121212121212121,1
12.5,107
12.82051282051282,1
12.903225806451612,1
12.941176470588237,1
13.043478260869565,4
13.138686131386862,1
13.333333333333334,10
13.636363636363635,10
13.725490196078432,1
13.793103448275861,3
13.86861313868613,1
14.285714285714285,134
14.473684210526317,1
14.705882352941178,1
14.814814814814813,2
15.0,4
15.151515151515152,1
15.384615384615385,14
15.789473684210526,7
15.873015873015872,1
16.0,2
16.27906976744186,1
16.3265306122449,1
16.535433070866144,1
16.666666666666664,201
16.9811320754717,1
17.24137931034483,3
17.391304347826086,2
17.599999999999998,1
17.647058823529413,8
17.857142857142858,3
18.181818181818183,22
18.30065359477124,1
18.51851851851852,3
18.75,6
19.047619047619047,2
19.230769230769234,1
20.0,246
20.588235294117645,1
20.833333333333336,1
21.12676056338028,1
21.21212121212121,1
21.428571428571427,9
21.73913043478261,3
22.22222222222222,27
22.727272727272727,4
22.857142857142858,1
23.076923076923077,5
23.52941176470588,4
23.809523809523807,2
23.958333333333336,1
24.137931034482758,1
25.0,311
25.64102564102564,1
26.08695652173913,1
26.31578947368421,2
26.666666666666668,1
26.865671641791046,1
27.27272727272727,5
27.586206896551722,1
27.77777777777778,1
28.57142857142857,38
30.0,7
30.434782608695656,2
30.76923076923077,2
31.25,2
31.57894736842105,1
32.82051282051282,1
33.33333333333333,434
35.294117647058826,1
36.36363636363637,4
37.5,9
38.46153846153847,1
40.0,55
41.66666666666667,2
42.30769230769231,1
42.857142857142854,13
43.333333333333336,1
44.44444444444444,2
45.16129032258064,1
45.45454545454545,1
48.717948717948715,1
50.0,691
53.333333333333336,1
56.52173913043478,1
57.14285714285714,3
60.0,12
61.111111111111114,1
66.66666666666666,64
75.0,6
80.51948051948052,1
81.81818181818183,1
100.0,1171
