percentage,count
0.0,519
4.761904761904762,1
5.0,1
7.142857142857142,1
7.6923076923076925,1
8.333333333333332,1
9.090909090909092,1
10.0,1
11.11111111111111,1
12.5,1
14.285714285714285,1
16.666666666666664,8
18.181818181818183,1
18.75,1
20.0,4
22.22222222222222,2
25.0,8
28.57142857142857,1
33.33333333333333,14
37.5,2
40.0,2
50.0,20
66.66666666666666,4
75.0,2
100.0,50
